ID,Initiating condition,Priority,Delay,Automatic/operator action,Reset/clear
A-001,LT-101 >= 80%,High,2 s,Warn operator; controller increases inventory reduction,Auto clear
A-002,LT-101 <= 25%,High,2 s,Warn operator; controller reduces discharge demand,Auto clear
A-003,LT-101 bad or out of range,High,1 s,Close inlet; block new auto start; hold running pump at safe tracked bias,Manual confirm
A-004,Any two LT-201 channels >= 90%,Trip,0.5 s,Close and inhibit LCV-101; keep eligible discharge pump available,Manual below 85%
A-005,Any two LT-201 channels <= 15%,Trip,0.5 s,Trip and inhibit P-101A/B,Manual above 20%
A-006,Protection-channel spread > 5%,Medium,5 s,Identify disagreeing channel; degraded alarm,Healthy + acknowledge
A-007,Any protection channel invalid,High,1 s,Degraded alarm; block protective reset,All channels valid
A-008,Pump command with no run feedback,High,5 s,Fail start; mark unavailable; start healthy standby,Manual / auto transfer
A-009,Run feedback lost with command active,High,0.5 s,Remove command; transfer to healthy standby,Manual
A-010,VFD fault or motor overload,High,0 s,Stop affected pump; latch fault; transfer duty,Manual
A-011,Speed deviation > 10%,Medium,5 s,Alarm; hold changeover; transfer if performance inadequate,Auto clear / manual
A-012,Low discharge flow while running,High,5 s,Stop affected pump; attempt standby transfer,Manual
A-013,Both pumps unavailable,High,0 s,High-priority alarm; close inlet as level rises,Availability restored
A-014,LCV demand/position mismatch,High,5 s,Alarm; inhibit unsafe restart,Manual
